"","x"
"CL0000192.1126",106
"CL0000192.1127",106
"CL0000192.1128",98
"CL0000192.1129",102
"CL0000192.1130",100
"CL0000192.1131",106
"CL0000192.1132",98
"CL0000192.1133",99
"CL0000192.1134",99
"CL0000192.1135",98
"CL0000192.1136",105
"CL0000192.1137",103
"CL0000192.1138",106
"CL0000192.1139",103
"CL0000192.1140",105
"CL0000192.1141",106
"CL0000192.1142",98
"CL0000192.1143",98
"CL0000192.1144",106
"CL0000192.1145",102
"CL0000192.1146",98
"CL0000192.1147",106
"CL0000192.1148",106
"CL0000192.1149",98
"CL0000192.1150",106
"CL0000192.1151",106
"CL0000192.1152",103
"CL0000192.1153",106
"CL0000192.1154",103
"CL0000192.1155",105
"CL0000192.1156",109
"CL0000192.1157",106
"CL0000192.1158",105
"CL0000192.1159",99
"CL0000192.1160",98
"CL0000192.1161",105
"CL0000192.1162",98
"CL0000192.1163",99
"CL0000192.1164",106
"CL0000192.1165",98
"CL0000192.1166",109
"CL0000192.1167",106
"CL0000192.1168",108
"CL0000192.1169",105
"CL0000192.1170",99
"CL0000192.1171",100
"CL0000192.1172",103
"CL0000192.1173",100
"CL0000192.1174",98
"CL0000192.1175",99
"CL0000192.1176",103
"CL0000192.1177",106
"CL0000192.1178",106
"CL0000192.1179",106
"CL0000192.1180",98
"CL0000192.1181",98
"CL0000192.1182",99
"CL0000192.1183",111
"CL0000192.1184",106
"CL0000192.1185",112
"CL0000192.1186",100
"CL0000192.1187",107
"CL0000192.1188",100
"CL0000192.1189",105
"CL0000192.1190",116
"CL0000192.1191",99
"CL0000192.1192",98
"CL0000192.1193",107
"CL0000192.1194",99
"CL0000192.1195",99
"CL0000192.1196",107
"CL0000192.1197",111
"CL0000192.1198",102
"CL0000192.1199",108
"CL0000192.1200",108
"CL0000192.1201",109
"CL0000192.1202",106
"CL0000192.1203",112
"CL0000192.1204",112
"CL0000192.1205",102
"CL0000192.1206",108
"CL0000192.1207",115
"CL0000192.1208",109
"CL0000192.1209",103
"CL0000192.1210",103
"CL0000192.1211",103
"CL0000192.1212",108
"CL0000192.1213",112
"CL0000192.1214",109
"CL0000192.1215",109
"CL0000192.1216",101
